instance,general_sha256,dual_sha256,no_skill_sha256,no_skill_hash_kind,primal_archive_sha256,primal_uncompressed_sha256,general_matches_primal_archive,dual_matches_primal_archive,no_skill_matches_primal_content_chain
graphdraw-grafo2,a5528a5b80f4405206449e26933e69eb5c2465bceff303a5086a572b80bdbfed,a5528a5b80f4405206449e26933e69eb5c2465bceff303a5086a572b80bdbfed,a5528a5b80f4405206449e26933e69eb5c2465bceff303a5086a572b80bdbfed,compressed .mps.gz bytes,a5528a5b80f4405206449e26933e69eb5c2465bceff303a5086a572b80bdbfed,f2d91fe3e3f8afba1d984645894d10e990bb3600fd78d1bdfae48c24abf8117f,True,True,True
polygonpack4-10,c77946405fd9fc1a53aa56dec82a1dcdef9932248c15ecc17e1ea05d49ab0969,c77946405fd9fc1a53aa56dec82a1dcdef9932248c15ecc17e1ea05d49ab0969,c77946405fd9fc1a53aa56dec82a1dcdef9932248c15ecc17e1ea05d49ab0969,compressed .mps.gz bytes,c77946405fd9fc1a53aa56dec82a1dcdef9932248c15ecc17e1ea05d49ab0969,b27c7ccbc529971d7c5a8015e3b1cc124071fde5720c37c6add00f9b0a3d418b,True,True,True
scpm1,fef145329bf9dd25fd9ff59a51816c044adf41ae627a23ab8c93eeb31cffed41,fef145329bf9dd25fd9ff59a51816c044adf41ae627a23ab8c93eeb31cffed41,fef145329bf9dd25fd9ff59a51816c044adf41ae627a23ab8c93eeb31cffed41,compressed .mps.gz bytes,fef145329bf9dd25fd9ff59a51816c044adf41ae627a23ab8c93eeb31cffed41,8eb3c79536dc88228c979019b5908e78945ac6946e69d98e7461b01ae069cbf4,True,True,True
ger50-17-trans-dfn-3t,fd05921bf1e954a9123a8d686f1610c00f03f700235910962220b1f3b8d20704,fd05921bf1e954a9123a8d686f1610c00f03f700235910962220b1f3b8d20704,fd05921bf1e954a9123a8d686f1610c00f03f700235910962220b1f3b8d20704,compressed .mps.gz bytes,fd05921bf1e954a9123a8d686f1610c00f03f700235910962220b1f3b8d20704,4aab8d5c347dcab6e049416eeee54308af3bc4ad56f1d6e6f1f847dfeea660d0,True,True,True
eva1aprime6x6opt,32ac7ea0015a16edc5058a6c6c2c9e8d79262b170888fc806304aaa2a51e0161,32ac7ea0015a16edc5058a6c6c2c9e8d79262b170888fc806304aaa2a51e0161,32ac7ea0015a16edc5058a6c6c2c9e8d79262b170888fc806304aaa2a51e0161,compressed .mps.gz bytes,32ac7ea0015a16edc5058a6c6c2c9e8d79262b170888fc806304aaa2a51e0161,a230a8fbfdb7429aeaaaa32134e94afa1e29b38af7a728c6b4787812d09baa98,True,True,True
cmflsp60-36-2-6,ce7f3600260baaf5e8cea531d616e212723875003366014af17d8802d2909da4,ce7f3600260baaf5e8cea531d616e212723875003366014af17d8802d2909da4,ce7f3600260baaf5e8cea531d616e212723875003366014af17d8802d2909da4,compressed .mps.gz bytes,ce7f3600260baaf5e8cea531d616e212723875003366014af17d8802d2909da4,485ec28cbee6183cc4d7e3e6ca751e3ced4e7b53a9ba7cb73e6723c897fdab8f,True,True,True
r4l4-02-tree-bounds-50,f6dedac412b6d9e9c6ee4ad0a91c92c27027d031efcd25a62dc4a26eb39d33f3,f6dedac412b6d9e9c6ee4ad0a91c92c27027d031efcd25a62dc4a26eb39d33f3,f6dedac412b6d9e9c6ee4ad0a91c92c27027d031efcd25a62dc4a26eb39d33f3,compressed .mps.gz bytes,f6dedac412b6d9e9c6ee4ad0a91c92c27027d031efcd25a62dc4a26eb39d33f3,688f3fe3466eacefcca588aca7c04a12aae44bc28c5390738a0144ec5b3d2285,True,True,True
sct1,49423b96c7a5f3c64590ec8f283d0111e4a7730348693e5c1f53df09542fb7a2,49423b96c7a5f3c64590ec8f283d0111e4a7730348693e5c1f53df09542fb7a2,49423b96c7a5f3c64590ec8f283d0111e4a7730348693e5c1f53df09542fb7a2,compressed .mps.gz bytes,49423b96c7a5f3c64590ec8f283d0111e4a7730348693e5c1f53df09542fb7a2,44d1afe0d0feec22d8a930ee15af9534809d612cf6ba2f0c9ebe402f13cdae37,True,True,True
shipsched,152d733821a90eae633bef181fe0e0907dc23e6a8afa8413bc98c22cc115b9f1,152d733821a90eae633bef181fe0e0907dc23e6a8afa8413bc98c22cc115b9f1,152d733821a90eae633bef181fe0e0907dc23e6a8afa8413bc98c22cc115b9f1,compressed .mps.gz bytes,152d733821a90eae633bef181fe0e0907dc23e6a8afa8413bc98c22cc115b9f1,5352e3e7b1546ed6b642f86983e9eaf882c1bd5c53f2d036b8f49df136f8cb88,True,True,True
rocII-8-11,8d0f3e5aacd9ceec0e0c2618d96ba00ad87803b457adaac4542b4393af5155b1,8d0f3e5aacd9ceec0e0c2618d96ba00ad87803b457adaac4542b4393af5155b1,8d0f3e5aacd9ceec0e0c2618d96ba00ad87803b457adaac4542b4393af5155b1,compressed .mps.gz bytes,8d0f3e5aacd9ceec0e0c2618d96ba00ad87803b457adaac4542b4393af5155b1,cd5135b94a70b4407fca7af930aa93adc7043406d07a1b0007796d8b3c78cbfb,True,True,True
