instance,batch,no_skill_primal,general_primal,primal_skill_primal,general_tolerance_indexed,no_skill_dual,general_dual,dual_gurobi_numeric,dual_gurobi_strongest,dual_independent_certified,dual_copt_terminal,copt10h_displayed_dual,copt_terminal_time_limit_seconds,copt_replay_exact_verdict,original_copt_recorded_time_seconds,dual_copt_vs_original_copt,dual_copt_minus_original_copt,primal_row_tolerance,primal_integrality_tolerance,primal_max_row_violation,primal_max_integrality_violation,primal_max_bound_violation,primal_evidence,dual_evidence,dual_exact_closure,no_skill_active_minutes,no_skill_solver_minutes,general_active_minutes,general_solver_minutes,primal_active_minutes,primal_wall_minutes,primal_solver_minutes,dual_active_minutes,dual_wall_minutes,dual_solver_minutes,general_method,primal_method,dual_method,general_source,primal_source,dual_source,general_evidence_path,primal_evidence_path,dual_evidence_path,general_vs_no_P_at_1e_7,general_vs_no_P_scale_sensitive,general_vs_no_P_exact_delta,general_vs_no_D_at_1e_7,general_vs_no_D_scale_sensitive,general_vs_no_D_exact_delta,primal_vs_general_P_at_1e_7,primal_vs_general_P_scale_sensitive,primal_vs_general_P_exact_delta,primal_vs_no_P_at_1e_7,primal_vs_no_P_scale_sensitive,primal_vs_no_P_exact_delta,dual_vs_general_D_at_1e_7,dual_vs_general_D_scale_sensitive,dual_vs_general_D_exact_delta,dual_vs_no_D_at_1e_7,dual_vs_no_D_scale_sensitive,dual_vs_no_D_exact_delta,no_gap_fraction,no_gap_state,general_gap_fraction,general_gap_state,posthoc_primal_dual_gap_fraction,posthoc_primal_dual_gap_state,general_vs_no_gap
graphdraw-grafo2,1,68609.5,68595.5,68590.5,false,36415.8465747,36159.784210526326,53510.5,53510.5,35762.0,53513.5,36314.1643,1800,stronger,36000.0,stronger,17199.3357,1e-06,1e-06,0.0,0.0,0.0,numerical,"completed floating-point Gurobi global bound on a replay-validated global strengthening, followed by separately proved exact 0.5 objective-lattice rounding",false,90.003,90.003,58.033313371666665,32.43401148716609,145.34339637358983,150.000001569589,133.34587556521097,150.0,150.28562228333334,115.65391789674759,objective-graph degree and disconnected-component restricted LNS with original-MPS replay,center-free;center-free:compact-order-release;center-free:cost-connected;center-free:order-release;coordinate-aux-completion;geometry-VNS;local-branching;local-branching:pair-hamming;norel;norel:compact-geometry;primal-baseline;primal-baseline:component-placement,edge-disjoint star projections; exact per-component 61Z lattices; complete component-support accounting; globally valid component cuts in the full model; bound-focused branch-and-cut,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/graphdraw-grafo2/instance_report.md,instances/graphdraw-grafo2/validation.json,instances/graphdraw-grafo2/accepted_bounds/0008_full_strengthened_v1.json,win,win,14,loss,loss,-256.062364173674,win,win,5,win,win,19,win,win,17350.715789473674,win,win,17094.6534253,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,available,0.472854863503781939048479856550356801831023900984758475410194546289479630588012333170543257,available,0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,available,loss
polygonpack4-10,1,-53594508.70758318,-53594508.70758325,-53594508.707583256,true,-93676649.5393,-93676450.23559369,-76521127.37712,-76521127.37712,unavailable,-76521127.37712,-93676573.4,60,equal,36000.0,stronger,17155446.02288,1e-06,1e-06,9.569714620738523e-07,0.0,0.0,numerical,replay-validated numerical global lower bound from a valid conflict relaxation,false,95.0245,95.0245,42.0709802483333,24.848107794354,135.59260820945104,150.0000391681989,134.09177498817445,unknown,150.3402737736702,102.83647667816064,projection-equivalent canonical slice links plus core local branching,"['untouched-model incumbent transfer and primal warm start', 'matrix-backed minimal pair-slice representation', 'integer-fixed continuous recourse', 'fixed rotation core with free slice completion', 'constructed polygon insertion/drop rotation designs', 'constructed polygon selection envelopes with all candidate rotations free', 'connected geometry neighborhoods enlarged from 2 to 8 objects', 'binary-domain local branching', 'unrestricted NoRel primal restarts', 'bounded public-layout current kick and rotation-core crossover']","canonical one-hot slices; exhaustive triple conflicts; validated four-, five-, and six-polygon conflict-master separation",D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/polygonpack4-10/instance_report.md,instances/polygonpack4-10/validation.json,instances/polygonpack4-10/accepted_bounds/bound_009_six_separation_stage1.json,tie,tie,7E-8,win,win,199.30370631,tie,tie,6E-9,tie,tie,7.6E-8,win,win,17155322.85847369,win,win,17155522.16218,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,available,0.427876391848810047567482742829187235485020402579144530253802562695213340419906431053355400,available,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,available,win
scpm1,1,537,537,537.0,false,415,414,416,416,414,416,415.555435,1800,equal,36000.0,stronger,0.444565,1e-06,1e-06,0.0,0.0,0.0,numerical+GMP explicit tolerances,numerical complete Gurobi cutoff infeasibility transferred through an independently verified exact reduced-cost cutoff map; exact 414 certificate tracked separately,false,95.6333,83.5296,46.10563204333334,25.22410636288993,133.0142784357071,150.0000017007192,91.80824806292851,150.0,150.0,95.376609090964,exact rational LP-dual replay plus deterministic cost-1 RWLS,"['diversification', 'local-branching', 'mixed_cost_compound_pivot', 'norel', 'primal-baseline', 'rins', 'row_weighted_cost_one']",exact nonnegative row aggregation and integer DP; exact rational LP-dual reduced-cost filtering; verified cutoff equivalence; complete bound-focused cutoff infeasibility,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/scpm1/instance_report.md,instances/scpm1/validation.json,instances/scpm1/accepted_bounds/0004_cutoff_refutation_lb416.json,tie,tie,0,loss,loss,-1,tie,tie,0,tie,tie,0,win,win,2,win,win,1,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,available,0.229050279329608938547486033519553072625698324022346368715083798882681564245810055865921788,available,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,available,loss
ger50-17-trans-dfn-3t,1,3969.433399999997,3969.433399999999,3969.4334,false,3917.155362335,3929.073502371996,3934.3152,3934.3152,unavailable,3804.3084,3831.36744,1800,weaker,36000.0,weaker,-27.05904,1e-06,1e-06,6.718182703480124e-07,0.0,2.948409230149272e-10,numerical,global numerical Gurobi bound on replay-validated strengthening with exact objective-lattice rounding,false,95.0027,83.5296,49.50457782,22.39974030256272,143.88615497350693,150.00001636743545,142.89055742845716,150.0,150.0,108.19973940054575,audited rounded logical cutset strengthening,LP_guided_primal_dictionary_selection;diversification;norel;semantic_capacity_LNS:LP_guided_global_dictionary;semantic_capacity_LNS:compact_global_dictionary;semantic_capacity_LNS:diverse_capacity;semantic_capacity_LNS:fixed_integer_continuous_recourse;semantic_capacity_LNS:high_cost;semantic_capacity_LNS:physical_coupling;semantic_capacity_LNS:recombination,rounded multicommodity balance/capacity cuts; full-model branch-and-cut; exact 1/5000 objective lattice; public feasible cutoff after validation,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/ger50-17-trans-dfn-3t/final_report.md,instances/ger50-17-trans-dfn-3t/validation.json,instances/ger50-17-trans-dfn-3t/accepted_bounds/accepted_015_public_cutoff_terminal_lattice_3934_3152.json,tie,tie,-2E-12,win,win,11.918140036996,tie,tie,-1E-12,tie,tie,-3E-12,win,win,5.241697628004,win,win,17.159837665,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,available,0.0101676721992622448754706904169861813201577880072710931887125268989506635159886796313709448,available,0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,available,win
eva1aprime6x6opt,2,-18.100995280293148,-18.101002981361386,-18.100996765491708,true,-239.4227696265,-495.3702539490355,-96.70380539695806,-96.70380539695806,unavailable,-495.3861144006825,-140.895641,2400,weaker,36000.0,weaker,-354.4904734006825,1e-06,1e-06,8.13215095263331e-09,0.0,0.0,numerical,global numerical Gurobi bound on a replay-validated clique-cut strengthening with objective-priority branching,false,107.52,91.0017,117.860724025,86.41341996987661,138.3940235535304,150.00009138584136,137.86555474996567,150.0,152.02549036741257,114.50176267623901,"material-choice structure recovery, strict fixed-pattern recourse, conflict cliques, symmetry-aware exact/local neighborhoods, redundant indicators, cardinality shell, and strict untouched-original control",active_core_exchange;component_insert_eject_recourse;equilibrium_connected;fixed_integer_recourse;packing_connected;parent_union_equilibrium_extension;parent_union_recombination;public_design_crossover;public_pattern_lp_completion;public_pattern_lp_completion_1;public_pattern_lp_completion_2;public_pattern_lp_completion_3;recourse_connected;warm_primal_baseline;whole_core_norel;whole_core_primal,exact binary-alias extraction; integral set-packing conflict graph; 6676 maximal-clique cuts; generic-cut suppression; objective-support priority branching; targeted indicator diagnostics,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/eva1aprime6x6opt/final_report.md,instances/eva1aprime6x6opt/validation.json,instances/eva1aprime6x6opt/accepted_bounds/0006_priority_objective_cuts0_2400s_numeric.json,win,win,0.000007701068238,loss,loss,-255.9474843225355,loss,loss,-0.000006215869678,win,win,0.00000148519856,win,win,398.66644855207744,win,win,142.71896422954194,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,available,0.963459648945284375671600066571448316298742834316424819443275317678878645240263479194185544,available,0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,available,loss
cmflsp60-36-2-6,2,73891245.64760005,73891244.22159792,73891245.26398355,true,73188341.59842,71322258.264677,73054818.85442139,73054818.85442139,unavailable,73054377.92989132,72075510.1,1080,weaker,36000.0,stronger,978867.82989132,1e-06,1e-06,9.799181301950455e-07,0.0,0.0,numerical,replay-validated numerical global lower bound on an exact active-period extension,false,91.0038,91.0038,91.34323061333333,46.78352800130844,135.50343322356542,150.00005250374477,132.9920210957527,unknown,150.87822070916494,109.43054269949594,exact fixed-pattern LP recourse plus declared Y/Z neighborhoods and untouched-original confirmation,DP_partial_core_repair;continuous_interval_path_column_master;coupled_period_setup_window;full_interval_arc_difference_flow_reformulation;integer_fixed_continuous_recourse;integer_fixed_continuous_recourse_gap0;unrestricted_primal_NoRel_restart;verified_setup_design_crossover;verified_transfer_primal_pilot;whole_family_horizon_release,"original-model branch-and-cut; capacity Lagrangian probe; exact activation-prefix, family-activation, and active-period OR extensions",D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/cmflsp60-36-2-6/final_report.md,instances/cmflsp60-36-2-6/validation.json,instances/cmflsp60-36-2-6/accepted_bounds/0003_active_period_extended_1080s_02.json,win,win,1.42600213,loss,loss,-1866083.333743,loss,loss,-1.04238563,win,win,0.3836165,win,win,1732560.58974439,loss,loss,-133522.74399861,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,available,0.0347671227353622293523576288545717588635389024591088949047682000807127943328469697770052947,available,0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,available,loss
r4l4-02-tree-bounds-50,2,499110528,499097063,499061405.0,false,480648435.4129,479452299.6156765,483755247.8932753,483755247.8932753,476622475,479851927.2511892,478217938,3000,weaker,36000.0,stronger,1633989.2511892,1e-06,1e-06,0.0,0.0,0.0,numerical,numerical Gurobi bound on an independently verified exact-equivalent fixed-tree PESP projection; exact cycle-congruence certificate tracked separately,false,90.0078,90.0078,92.9378157533333,70.8701130390167,144.02166390021642,150.00016926129658,143.877698802948,150.0,150.0,115.17657592693965,five independently audited BFS fundamental-cycle inequalities plus Gurobi 13.0.1,accepted_new_integer_pattern_full_continuous_recourse;all_original_chord_L1_period_deviation_with_continuous_recourse;coefficient_proved_phase_propagation_with_tree_lift;finite_choice_all_event_binary_selection_with_original_tree_lift;fixed_shift_all_event_binary_selection_with_original_tree_lift;full_original_diversification;full_original_norel;full_original_rins;integer_pattern_continuous_recourse;native_integer_row_graph_joint_lns;new_pattern_incumbent_transfer_full_original_rins;pesp_connected_event_incident_chord_lns;pesp_verified_chord_pattern_recombination;precise_fixed_period_pattern_continuous_recourse;warm_original_primal_baseline,exact spanning-tree elimination of PESP potentials; bound-focused branch-and-cut on the exact projection; exact edge-disjoint cycle-congruence packing with independent integer replay,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/r4l4-02-tree-bounds-50/final_report.md,instances/r4l4-02-tree-bounds-50/validation.json,instances/r4l4-02-tree-bounds-50/accepted_bounds/0025_tree_projected_v1_3000_483755247_8932753.json,win,win,13465,loss,loss,-1196135.7972235,win,win,35658,win,win,49123,win,win,4302948.2775988,win,win,3106812.4803753,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,available,0.0393606070655709308391582340367328509003868852660429300101892204482878313391317231614324286,available,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,available,loss
sct1,2,-187.52764944960393,-187.52765083903063,-187.52765083903063,true,-200.2450490980,-201.483830038592,-199.81870652161473,-199.81870652161473,unavailable,-203.6909587469025,-202.560756,3600,weaker,36000.0,weaker,-1.1302027469025,1e-06,1e-06,7.677366085090398e-07,9.099498705644748e-07,1.877819929746498e-07,numerical,global numerical Gurobi bound on an independently replayed optimal-value-preserving strengthening,false,94.3393,90.0042,104.206510313,76.26118843396502,140.6095442970594,150.0000593781471,139.91100730895997,150.0,150.0,128.05534990231197,"structure-guided exact fixed-outside neighborhoods, local branching, exact LP dual certification, and an original-model global control",LP_selected_group_repair;bounded_original_primal_baseline;bounded_worsening_diverse_center;coupled_resource_groups;distinct_verified_pattern_coherent_crossover;enlarged_selector_bridge_groups;fixed_integer_recourse;full_original_primal_diversification;high_degree_gate_and_assignment_groups;objective_penalty_completion_groups;original_active_choice_alternation_exchange;original_binary_hamming_local_branching_repair;original_reward_choice_insertion_exchange;penalty_gate_ejection;tight_resource_groups;verified_solution_crossover;verified_solution_crossover__full_core_fallback,exact activation-integrality strengthening for 818 variables; full-model branch-and-cut; validated public start/cutoff; group-OR diagnostic,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/sct1/final_report.md,instances/sct1/validation.json,instances/sct1/accepted_bounds/accepted_018_activation_integrality_v1_seed13_terminal_-199_81870652161473.json,win,win,0.0000013894267,loss,loss,-1.238780940592,tie,tie,0,win,win,0.0000013894267,win,win,1.66512351697727,win,win,0.42634257638527,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,available,0.0692669937676299789244607066152515187462150852926811418483798395821010809197321446844925326,available,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,available,loss
shipsched,3,111919.9869111547,111919.8337342348,111919.99954622652,true,81014.60455187,79152.37747691161,85777.6824670317,85777.6824670317,0,65764.27180253016,67029.7019,2550,weaker,36000.0,weaker,-1265.43009746984,1e-06,1e-06,7.748894859105349e-10,1.7915711961729536e-09,0.0,numerical,"global numerical Gurobi bound on the untouched original model, kept separate from an exact objective-domain floor",false,91.022686265,90.0074517458,106.695941641667,90.7800393193563,132.88395277261733,150.00012190739315,132.45379385153453,150.0,150.75474148333333,107.5088515718778,"precedence-pattern recourse, paper-motivated scheduling neighborhoods, independently verified directed-cycle inequalities, and matched global branch-and-cut controls",canal_event_corridor;checked_parent_whole_pair_recombination;multi_ship_expanded_order_star;multi_ship_order_star;pair_state_anchor_recourse;post_pilot_full_core_norel;public_pattern_original_recourse_1;public_pattern_original_recourse_2;public_pattern_original_recourse_4;temporal_pair_conflict_search;warm_primal_baseline;whole_core_norel,exact event-chain tight-M reformulation; triangle and fixing cuts; indicator representation; exact zero-offset core projection; measured full-model branch-and-cut fallback; validated public cutoff/start diagnostic,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/shipsched/final_report.md,instances/shipsched/validation.json,instances/shipsched/accepted_bounds/0004_original_final_2550s_numeric.json,win,win,0.1531769199,loss,loss,-1862.22707495839,loss,loss,-0.16581199172,loss,loss,-0.01263507182,win,win,6625.30499012009,win,win,4763.0779151617,0.276138187755671202254597605213002755391946156173374768432293807484070499526277542826751634,available,0.292776134167004731727182922094229649473545159459999056225534976915624698362011340055415166,available,0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,available,loss
rocII-8-11,3,-8.739844934961763,-8.739845027008393,-8.739844934961763,true,-11.8377922287,-11.854388559168083,-11.82,-11.82,-12,-11.82000000000000028421709430404007434844970703125,-11.889881,1500,weaker,36000.0,stronger,0.06988099999999971578290569595992565155029296875,1e-06,1e-06,4.440892098500626e-15,0.0,0.0,numerical,replay-validated numerical global lower bound over an exhaustive binary split,false,92.4780018954,91.0221397672,90.0360732166667,58.17868388493856,139.19989875952402,150.00004767974218,138.81390781799954,unknown,150.21162883838016,106.33931172291437,"strict public-pattern repair, audited temporal restrictions, and final untouched-original control",configuration_marginal_extension;control_beam_fixed_configuration_original_recourse;coupled_confidence_period_configuration_window;public_ID2_integer_core_continuous_repair;unrestricted_confidence_control_NoRel_restart;unrestricted_primal_NoRel_waiting_structure;verified_public_transfer_primal_pilot,exact objective-cardinality certificate; exhaustive P#0#10 split; ordered confidence-endpoint hull; successive cutoff exclusion,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\general\comparison\sources\skill-summary.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\primal\instance_results.csv,D:\sufe\AI4MIP\worktrees\organize-skill-research\skills-research\experiments\dual\source_dual_gurobi_core\summary.csv,instances/rocII-8-11/final_report.md,instances/rocII-8-11/validation.json,instances/rocII-8-11/accepted_bounds/0006_pall_orderhull_cutoff_m1182_numeric.json,tie,tie,9.204663E-8,loss,loss,-0.016596330468083,tie,tie,-9.204663E-8,tie,tie,0,win,win,0.034388559168083,win,win,0.0177922287,0.261699752275382407007999761887221405511472456985749461331901945345384096925394282410294725,available,0.262733376471866075086233330754556772670976005754456250570145811097452671378502505743340479,available,0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,available,loss
