instance,portfolio,backend_scope,direct_gurobi_primal,direct_gurobi_dual,direct_gurobi_gap_fraction,portfolio_gap_fraction,gap_reduction_pp,verdict,direct_gurobi_runtime_seconds
graphdraw-grafo2,three_skills,all_available,127956.5,36514.21542626445,0.714635712712801225416450121721053639322738586941655953390410022155967066932902978746683443,0.219811781514932825974442524839445695832513248919310983299436510887076198598931338888038431,49.4823931197868399442007596881607943490225338022344970090973511268890868333971639858645012,win,9000.030121088028
graphdraw-grafo2,three_skills,gurobi_only,127956.5,36514.21542626445,0.714635712712801225416450121721053639322738586941655953390410022155967066932902978746683443,0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,49.4780193362453874106866433017807562971057231651929241965358447958374105808549023023952161,win,9000.030121088028
graphdraw-grafo2,primal_dual,all_available,127956.5,36514.21542626445,0.714635712712801225416450121721053639322738586941655953390410022155967066932902978746683443,0.219811781514932825974442524839445695832513248919310983299436510887076198598931338888038431,49.4823931197868399442007596881607943490225338022344970090973511268890868333971639858645012,win,9000.030121088028
graphdraw-grafo2,primal_dual,gurobi_only,127956.5,36514.21542626445,0.714635712712801225416450121721053639322738586941655953390410022155967066932902978746683443,0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,49.4780193362453874106866433017807562971057231651929241965358447958374105808549023023952161,win,9000.030121088028
polygonpack4-10,three_skills,all_available,-51836833.79437952,-93676771.6421677,0.446641543195051070686279339782693564600227027636027187413793158188762711837986852612983535,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,14.7029926699292831434005221901727375161720317731580150704115143174082818562709834698342380,win,9000.442174911499
polygonpack4-10,three_skills,gurobi_only,-51836833.79437952,-93676771.6421677,0.446641543195051070686279339782693564600227027636027187413793158188762711837986852612983535,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,14.7029926699292831434005221901727375161720317731580150704115143174082818562709834698342380,win,9000.442174911499
polygonpack4-10,primal_dual,all_available,-51836833.79437952,-93676771.6421677,0.446641543195051070686279339782693564600227027636027187413793158188762711837986852612983535,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,14.7029926699292831434005221901727375161720317731580150704115143174082818562709834698342380,win,9000.442174911499
polygonpack4-10,primal_dual,gurobi_only,-51836833.79437952,-93676771.6421677,0.446641543195051070686279339782693564600227027636027187413793158188762711837986852612983535,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,14.7029926699292831434005221901727375161720317731580150704115143174082818562709834698342380,win,9000.442174911499
scpm1,three_skills,all_available,590.0,415.0,0.296610169491525423728813559322033898305084745762711864406779661016949152542372881355932203,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,7.12842849477637849951077865101158349903733863586150301423476312217908657639743711138465424,win,9000.315874814987
scpm1,three_skills,gurobi_only,590.0,415.0,0.296610169491525423728813559322033898305084745762711864406779661016949152542372881355932203,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,7.12842849477637849951077865101158349903733863586150301423476312217908657639743711138465424,win,9000.315874814987
scpm1,primal_dual,all_available,590.0,415.0,0.296610169491525423728813559322033898305084745762711864406779661016949152542372881355932203,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,7.12842849477637849951077865101158349903733863586150301423476312217908657639743711138465424,win,9000.315874814987
scpm1,primal_dual,gurobi_only,590.0,415.0,0.296610169491525423728813559322033898305084745762711864406779661016949152542372881355932203,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,7.12842849477637849951077865101158349903733863586150301423476312217908657639743711138465424,win,9000.315874814987
ger50-17-trans-dfn-3t,three_skills,all_available,4002.3268,3931.2645220703394,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,0.00884715687634386531013642308342175740659185349268170278202765479871832136739082175262629860,0.890808438223117159089824505012495846878344069868717794005630895956348610520237078727324184,win,9000.046382904053
ger50-17-trans-dfn-3t,three_skills,gurobi_only,4002.3268,3931.2645220703394,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,0.00884715687634386531013642308342175740659185349268170278202765479871832136739082175262629860,0.890808438223117159089824505012495846878344069868717794005630895956348610520237078727324184,win,9000.046382904053
ger50-17-trans-dfn-3t,primal_dual,all_available,4002.3268,3931.2645220703394,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,0.890808438223092189459571389891967817271475830733061974508911104202260534062141037068617110,win,9000.046382904053
ger50-17-trans-dfn-3t,primal_dual,gurobi_only,4002.3268,3931.2645220703394,0.0177552412585750369010346681335467158753752941913688807220839637582818074725931925398995404,0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,0.890808438223092189459571389891967817271475830733061974508911104202260534062141037068617110,win,9000.046382904053
eva1aprime6x6opt,three_skills,all_available,-13.360636598750812,-146.8016705334812,0.908988524788594700656680218828801122241651493100705676432998445383572746540534252016751162,0.812820158347866051530633019502592333427922327891635731287433724882480127768260623173608665,9.61683664407286491260471993262087888137291652090699451455647205010926187722736288431424973,win,9000.027134180069
eva1aprime6x6opt,three_skills,gurobi_only,-13.360636598750812,-146.8016705334812,0.908988524788594700656680218828801122241651493100705676432998445383572746540534252016751162,0.812820158347866051530633019502592333427922327891635731287433724882480127768260623173608665,9.61683664407286491260471993262087888137291652090699451455647205010926187722736288431424973,win,9000.027134180069
