instance,portfolio,backend_scope,raw_min_primal,raw_min_primal_source,excluded_primal_candidates,selected_primal,primal_source,selected_dual,dual_source,portfolio_gap_fraction,portfolio_gap_state,primal_evidence_note,gurobi_baseline_primal,gurobi_baseline_dual,gurobi_baseline_gap_fraction,original_copt_primal,original_copt_dual,original_copt_gap_fraction,original_copt_gap_state,original_copt_time_seconds,original_copt_result,gurobi_minus_portfolio_gap_pp,portfolio_vs_gurobi,copt_minus_portfolio_gap_pp,portfolio_vs_copt
graphdraw-grafo2,three_skills,all_available,68590.5,primal skill,[],68590.5,primal skill,53513.5,dual skill COPT terminal,0.219811781514932825974442524839445695832513248919310983299436510887076198598931338888038431,available,historically accepted numerical witness; not uniformly revalidated,68609.5,36415.8465747,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,109951.5,36314.1643,0.669725612656489452167546600091858683146660118324897795846350436328744946635562043264530270,available,36000.0,stop,24.9418477054215761320319862293531515778123761990256933679990536387718108311919199302736899,win,44.9913831141556626193104075252412987314146869405586812546913925441668748036630704376491839,win
graphdraw-grafo2,three_skills,gurobi_only,68590.5,primal skill,[],68590.5,primal skill,53510.5,dual skill Gurobi,0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,available,historically accepted numerical witness; not uniformly revalidated,68609.5,36415.8465747,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,109951.5,36314.1643,0.669725612656489452167546600091858683146660118324897795846350436328744946635562043264530270,available,36000.0,stop,24.9374739218801235985178698429731135258955655619841205554375473077201345786496582468044048,win,44.9870093306142100857962911388612606794978763035171084421298862131151985511208087541798988,win
graphdraw-grafo2,primal_dual,all_available,68590.5,primal skill,[],68590.5,primal skill,53513.5,dual skill COPT terminal,0.219811781514932825974442524839445695832513248919310983299436510887076198598931338888038431,available,historically accepted numerical witness; not uniformly revalidated,68609.5,36415.8465747,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,109951.5,36314.1643,0.669725612656489452167546600091858683146660118324897795846350436328744946635562043264530270,available,36000.0,stop,24.9418477054215761320319862293531515778123761990256933679990536387718108311919199302736899,win,44.9913831141556626193104075252412987314146869405586812546913925441668748036630704376491839,win
graphdraw-grafo2,primal_dual,gurobi_only,68590.5,primal skill,[],68590.5,primal skill,53510.5,dual skill Gurobi,0.219855519350347351309583688703246076351681355289726711425051574197592961124353955722731282,available,historically accepted numerical witness; not uniformly revalidated,68609.5,36415.8465747,0.469230258569148587294762387132977211610637010909567916979427047274794306910850538190775330,109951.5,36314.1643,0.669725612656489452167546600091858683146660118324897795846350436328744946635562043264530270,available,36000.0,stop,24.9374739218801235985178698429731135258955655619841205554375473077201345786496582468044048,win,44.9870093306142100857962911388612606794978763035171084421298862131151985511208087541798988,win
polygonpack4-10,three_skills,all_available,-53594508.707583256,primal skill,[],-53594508.707583256,primal skill,-76521127.37712,dual skill Gurobi; dual skill COPT terminal,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,available,historically accepted numerical witness; not uniformly revalidated,-53594508.70758318,-93676649.5393,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,-51836818.8,-93676573.4,0.446640532220833773580364543949042440102746115177607467866667292080946248616732601365625955,available,36000.0,stop,12.8265992586548125292343373731994760660489248112918420515791364428049357923024437432635679,win,14.7028915725075534328090426068076250664239405273160431156989277066266355341455583450984800,win
polygonpack4-10,three_skills,gurobi_only,-53594508.707583256,primal skill,[],-53594508.707583256,primal skill,-76521127.37712,dual skill Gurobi,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,available,historically accepted numerical witness; not uniformly revalidated,-53594508.70758318,-93676649.5393,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,-51836818.8,-93676573.4,0.446640532220833773580364543949042440102746115177607467866667292080946248616732601365625955,available,36000.0,stop,12.8265992586548125292343373731994760660489248112918420515791364428049357923024437432635679,win,14.7028915725075534328090426068076250664239405273160431156989277066266355341455583450984800,win
polygonpack4-10,primal_dual,all_available,-53594508.707583256,primal skill,[],-53594508.707583256,primal skill,-76521127.37712,dual skill Gurobi; dual skill COPT terminal,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,available,historically accepted numerical witness; not uniformly revalidated,-53594508.70758318,-93676649.5393,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,-51836818.8,-93676573.4,0.446640532220833773580364543949042440102746115177607467866667292080946248616732601365625955,available,36000.0,stop,12.8265992586548125292343373731994760660489248112918420515791364428049357923024437432635679,win,14.7028915725075534328090426068076250664239405273160431156989277066266355341455583450984800,win
polygonpack4-10,primal_dual,gurobi_only,-53594508.707583256,primal skill,[],-53594508.707583256,primal skill,-76521127.37712,dual skill Gurobi,0.299611616495758239252274117880966189438506709904447036709678015014679893275277017914641155,available,historically accepted numerical witness; not uniformly revalidated,-53594508.70758318,-93676649.5393,0.427877609082306364544617491612960950098995958017365457225469379442729251198301455347276834,-51836818.8,-93676573.4,0.446640532220833773580364543949042440102746115177607467866667292080946248616732601365625955,available,36000.0,stop,12.8265992586548125292343373731994760660489248112918420515791364428049357923024437432635679,win,14.7028915725075534328090426068076250664239405273160431156989277066266355341455583450984800,win
scpm1,three_skills,all_available,537.0,primal skill,[],537.0,primal skill; general skill,416,dual skill Gurobi; dual skill COPT terminal,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,available,historically accepted numerical witness; not uniformly revalidated,537,415,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,630,415.555435,0.340388198412698412698412698412698412698412698412698412698412698412698412698412698412698413,available,36000.0,stop,0.186219739292364990689013035381750465549348230912476722532588454376163873370577281191806292,win,11.5062313868936773964706925600780349383701339008601578433980668617540125920014188170612752,win
scpm1,three_skills,gurobi_only,537.0,primal skill,[],537.0,primal skill; general skill,416,dual skill Gurobi,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,available,historically accepted numerical witness; not uniformly revalidated,537,415,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,630,415.555435,0.340388198412698412698412698412698412698412698412698412698412698412698412698412698412698413,available,36000.0,stop,0.186219739292364990689013035381750465549348230912476722532588454376163873370577281191806292,win,11.5062313868936773964706925600780349383701339008601578433980668617540125920014188170612752,win
