instance,batch,no_skill_primal,skill_selected_primal,skill_primal_is_tolerance_indexed,no_skill_minus_skill_primal,selected_primal_comparison_at_1e_7,no_skill_dual,skill_dual,skill_minus_no_skill_dual,dual_comparison_at_1e_7,no_skill_common_gap_fraction,skill_common_gap_fraction,no_skill_minus_skill_gap_percentage_points,common_gap_comparison,no_skill_final_point_source,skill_main_method,skill_final_status,skill_new_strict_vs_frozen_public_baseline,no_skill_new_strict_vs_frozen_public_baseline,skill_exact_global_optimum,no_skill_exact_global_optimum
graphdraw-grafo2,1,68609.5,68595.5,false,14,skill_better,36415.8465747,36159.784210526326,-256.062364173674,no_skill_better,0.46923025856914858729476238713297721161063701090956791697942704727479430691085054,0.47285486350378193904847985655035680183102390098475847541019454628947963058801233,-0.362460493463335175371746941737959022038689007519055843076749901468532367716179,no_skill_better,Search,objective-graph degree and disconnected-component restricted LNS with original-MPS replay,open_new_verified_primal,true,true,false,false
polygonpack4-10,1,-53594508.70758318,-53594508.70758325,true,0.00000007,tie,-93676649.5393,-93676450.23559369,199.30370631,skill_better,0.42787760908230636454461749161296095009899595801736545722546937944272925119830146,0.42787639184881004756748274282918723548502040257914453025380256269521334041990643,0.000121723349631697713474878377371461397555543822092697166681674751591077839503,skill_better,External/derived,projection-equivalent canonical slice links plus core local branching,open_valid_computational_dual,false,false,false,false
scpm1,1,537,537,false,0,tie,415,414,-1,no_skill_better,0.22718808193668528864059590316573556797020484171322160148975791433891992551210428,0.22905027932960893854748603351955307262569832402234636871508379888268156424581006,-0.186219739292364990689013035381750465549348230912476722532588454376163873370578,no_skill_better,External/derived,exact rational LP-dual replay plus deterministic cost-1 RWLS,open_valid_exact_rational_dual,false,false,false,false
ger50-17-trans-dfn-3t,1,3969.433399999997,3969.433399999999,false,-0.000000000002,tie,3917.155362335,3929.073502371996,11.918140036996,skill_better,0.01317015110141337539772132320953569674804712143730393464754045549972042423519853,0.01016767219926224487547069041698618132015778800727109318871252689895066351598868,0.300247890215113052225063279254951542788933343003284145882792860076976071920985,skill_better,External/derived,audited rounded logical cutset strengthening,open_valid_computational_dual,false,false,false,false
eva1aprime6x6opt,2,-18.100995280293148,-18.101002981361386,true,0.000007701068238,skill_better,-239.4227696265,-495.3702539490355,-255.9474843225355,no_skill_better,0.92439735239663822751755974579113158306951191934026451148981692527175515340082545,0.96345964894528437567160006657144831629874283431642481944327531767887864524026348,-3.906229654864614815404032078031673322923091497616030795345839240712349183943803,no_skill_better,External/derived,"material-choice structure recovery, strict fixed-pattern recourse, conflict cliques, symmetry-aware exact/local neighborhoods, redundant indicators, cardinality shell, and strict untouched-original control",open_with_tolerance_indexed_verified_primal_and_improved_valid_computational_dual_no_new_strict_topology_no_global_optimality,false,false,false,false
cmflsp60-36-2-6,2,73891245.64760005,73891244.22159792,true,1.42600213,skill_better,73188341.59842,71322258.264677,-1866083.333743,no_skill_better,0.0095126837153662189653814985754806709975422485838219391215357520880381819388598605,0.03476712273536222935235762885457175886353890245910889490476820008071279433284697,-2.525443901999601038697613027909108786599665387528695578323244799267461239398711,no_skill_better,External/derived,exact fixed-pattern LP recourse plus declared Y/Z neighborhoods and untouched-original confirmation,complete_no_strict_improvement,false,false,false,false
r4l4-02-tree-bounds-50,2,499110528,499097063,false,13465,skill_better,480648435.4129,479452299.6156765,-1196135.7972235,no_skill_better,0.036989988291932002684583724108500472264131443045817699120945010400582053039762768,0.039360607065570930839158234036732850900386885266042930010189220448287831339131723,-0.2370618773638928154574509928232378636255442220225230889244210047705778299368955,no_skill_better,Search,five independently audited BFS fundamental-cycle inequalities plus Gurobi 13.0.1,TIME_LIMIT,true,true,false,false
sct1,2,-187.52764944960393,-187.52765083903063,true,0.0000013894267,skill_better,-200.2450490980,-201.483830038592,-1.238780940592,no_skill_better,0.063509183900832274648240801621379420177848276401434868497844273229503223440539017,0.069266993767629978924460706615251518746215085292681141848379839582101080919732145,-0.5757809866797704276219904993872098568366808891246273350535566352597857479193128,no_skill_better,External/derived,"structure-guided exact fixed-outside neighborhoods, local branching, exact LP dual certification, and an original-model global control",open_with_verified_primal_and_improved_valid_computational_dual_bound_no_global_optimality,false,false,false,false
shipsched,3,111919.9869111547,111919.8337342348,true,0.1531769199,skill_better,81014.60455187,79152.37747691161,-1862.22707495839,no_skill_better,0.27613818775567120225459760521300275539194615617337476843229380748407049952627754,0.29277613416700473172718292209422964947354515945999905622553497691562469836201134,-1.66379464113335294725853168812268940815990032866242877932411694315541988357338,no_skill_better,Search,"precedence-pattern recourse, paper-motivated scheduling neighborhoods, independently verified directed-cycle inequalities, and matched global branch-and-cut controls",open_with_verified_tolerance_indexed_primal_and_improved_computational_global_dual_no_optimality_proof,false,false,false,false
rocII-8-11,3,-8.739844934961763,-8.739845027008393,true,0.00000009204663,tie,-11.8377922287,-11.854388559168083,-0.016596330468083,no_skill_better,0.26169975227538240700799976188722140551147245698574946133190194534538409692539428,0.26273337647186607508623333075455677267097600575445625057014581109745267137850251,-0.103362419648366807823356886733536715950354876870678923824386575206857445310823,no_skill_better,External/derived,"strict public-pattern repair, audited temporal restrictions, and final untouched-original control",TIME_LIMIT_OPEN_GAP,false,false,false,false
ns1856153,3,34.16347439886857,34.01697312588408,false,0.14650127298449,skill_better,0.003362513402564,28.900000000000006,28.896637486597442,skill_better,0.99990157577758908033903125535639285368609591905108045760392461611418563529973032,0.15042411642411782183373688737255131345880659788413606135459452319738486649763186,84.947745935347125850529436798384154022728932116694439624933009291680076880209846,skill_better,External/derived,exact connectivity projection; transpose/tree optimum-value equivalence; incumbent-cutoff interval big-M tightening,TIME_LIMIT_WITH_NEW_STRICT_PRIMAL_AND_VALID_BOUND,true,false,false,false
dc1l,3,1758647.6800999984,1758647.6801,false,-0.0000000016,tie,1749186.534225,1748341.9142596035,-844.6199653965,no_skill_better,0.0053797846959661813206718558965846573006089365241085623937408442914078990262620858,0.005860051423040284485915889390311771292911166192599124448132833266061975911737934,-0.04802667270741031652440334937271139923022296684905620543919889746540768854758482,no_skill_better,External/derived,"exact structural quotient and rational certificate chain, audited restricted neighborhoods, and matched untouched-original control",open_no_optimality_proof,false,false,false,false
neos-5221106-oparau,4,52.669999994631496,52.07,false,0.599999994631496,skill_better,0.0,42.54,42.54,skill_better,1,0.18302285385058574995198770885346648742077971960821970424428653735356251200307279,81.697714614941425004801229114653351257922028039178029575571346264643748799692721,skill_better,External/derived,incumbent-capped exact mode-4 projection plus exact route exchange and assignment-radius search,open_new_strict_primal_and_global_dual_progress,true,false,false,false
zeil,4,1081.3585000000078,1081.3585,false,0.0000000000078,tie,815.3797428765,833.8312541332446,18.4515112567446,skill_better,0.2459672320729026326196074949792002994950695465358287177263941796693711975495625,0.22890396280859252505066543611577474075433817739445336583565949682737038641671564,1.706326926431010756894205886342555874073136914137535189073468284200081113284686,skill_better,External/derived,exact w projection with support cuts,open,false,false,false,false
cdma,4,-22966095679999980,-24778478399999989.93240,false,1812382720000009.9324,skill_better,-31763448000000000,-63828901980830619.66410742284140406012091284602512785,-32065453980830619.66410742284140406012091284602512785,no_skill_better,0.27696465194836593306872729937883317957168881665491731250335291055303567799062621,0.61179845444558057717937879945587686469876948923332999779667490882617060530308071,-33.48338024972146441106515000770436851270806725784126852933219982731349273124545,no_skill_better,Search,public-pattern repair plus OR-hull bounded-box Lagrangian certificate and bounded structural falsification,open_not_closed,false,false,false,false
ns1456591,4,988.1412834399998,988.14128344,false,-0.0000000000002,tie,473.415027263,988.14128344,514.726256177,skill_better,0.52090350317627845003530544451522081733973232187555637863297284029450642521630708,0,52.090350317627845003530544451522081733973232187555637863297284029450642521630708,skill_better,External/derived,exact route quotient; Held-Karp/set-partition DP; rational complete-master dual; original-MPS lift,optimal_exact_certificate,false,false,true,false
seqsolve1,5,4279,4277,false,2,skill_better,4272,4269,-3,no_skill_better,0.0016358962374386538910960504790838981070343538209862117317130170600607618602477214,0.0018704699555763385550619593172784662146364274023848491933598316577039981295300444,-0.0234573718137684663965908838194568107602073581398637461646814597643236269282323,no_skill_better,Search,structure-audited activation/rounding/Hall strengthenings with untouched-MPS baseline and exact witness replay,open_not_closed,false,false,false,false
stockholm,5,129,122,false,7,skill_better,106,104,-2,no_skill_better,0.17829457364341085271317829457364341085271317829457364341085271317829457364341085,0.14754098360655737704918032786885245901639344262295081967213114754098360655737705,3.07535900368534756639979667047909518363197356716228237387215656373109670860338,skill_better,Search,untouched-original audit plus exact-recourse monotone combinatorial Benders,open_bounded_experiment; strict_primal_122; computational_dual_104,false,false,false,false
supportcase22,5,110,110,false,0,tie,1.4000000000000001,6.0,4.5999999999999999,skill_better,0.98727272727272727181818181818181818181818181818181818181818181818181818181818182,0.94545454545454545454545454545454545454545454545454545454545454545454545454545455,4.181818181818181727272727272727272727272727272727272727272727272727272727272727,skill_better,External/derived,DEC-master violated-original-row generation with independent subset audit and exact 1/5 objective lattice; exact alias/support quotient; scoped neighborhoods,open; strict incumbent 110 retained; global lower bound 6.0 from audited original-row-subset relaxation and 1/5 lattice,false,false,false,false
neos-3682128-sandon,5,34666770,34666770,false,0,tie,21672926.242906883,34666770,12993843.757093117,skill_better,0.37482129881419921729079461397759295140562561784671603382720686121031754616885277,0,37.482129881419921729079461397759295140562561784671603382720686121031754616885277,skill_better,Search,complete machine-configuration enumeration with exact rational duals and an exact original-MPS lift,exact_global_optimum,false,false,true,false
